Visitor,PTS,Home,PTS,,,,,,,,,Visitor,PTS,Home,PTS
Minnesota Timberwolves,102,Los Angeles Clippers,129,,,,,,,,,MIN,102,LAC,129
San Antonio Spurs,106,Los Angeles Lakers,114,,,,,,,,,SAS,106,LAL,114
Milwaukee Bucks,100,Atlanta Hawks,120,,,,,,,,,MIL,100,ATL,120
Golden State Warriors,102,Charlotte Hornets,106,,,,,,,,,GSW,102,CHA,106
Phoenix Suns,115,Houston Rockets,89,,,,,,,,,PHX,115,HOU,89
Brooklyn Nets,120,Oklahoma City Thunder,96,,,,,,,,,BKN,120,OKC,96
Portland Trail Blazers,95,Denver Nuggets,124,,,,,,,,,PHX,95,DEN,124
Chicago Bulls,100,Los Angeles Clippers,90,,,,,,,,,CHI,100,LAC,90
Boston Celtics,98,Cleveland Cavaliers,92,,,,,,,,,BOS,98,CLE,92
Sacramento Kings,129,Detroit Pistons,107,,,,,,,,,SAC,129,DET,107
New Orleans Pelicans,100,Washington Wizards,105,,,,,,,,,NOP,100,WAS,105
Orlando Magic,111,Atlanta Hawks,129,,,,,,,,,ORL,111,ATL,129
Indiana Pacers,84,New York Knicks,92,,,,,,,,,IND,84,NYK,92
Denver Nuggets,101,Dallas Mavericks,111,,,,,,,,,DEN,101,DAL,111
Houston Rockets,102,Memphis Grizzlies,136,,,,,,,,,HOU,102,MEM,136
Phoenix Suns,99,Minnesota Timberwolves,96,,,,,,,,,PHX,99,MIN,96
Miami Heat,103,Oklahoma City Thunder,90,,,,,,,,,MIA,103,OKC,90
Toronto Raptors,113,Portland Trail Blazers,118,,,,,,,,,TOR,113,PHX,118
Chicago Bulls,121,Los Angeles Lakers,103,,,,,,,,,CHI,121,LAL,103
Golden State Warriors,117,Brooklyn Nets,99,,,,,,,,,GSW,117,BKN,99
Philadelphia 76ers,85,Utah Jazz,120,,,,,,,,,PHI,85,UTA,120
San Antonio Spurs,92,Los Angeles Clippers,106,,,,,,,,,SAS,92,LAC,106
Washington Wizards,87,Charlotte Hornets,97,,,,,,,,,WAS,87,CHA,97
Indiana Pacers,89,Detroit Pistons,97,,,,,,,,,IND,89,DET,97
